antecedents,a,consequents,c,lift,antecedent support,consequent support,support,confidence,leverage,conviction,antecedent_len,consequent_len,rule_len
Akame,Akame ga Kill!,Emilia,Re:Zero kara Hajimeru Isekai Seikatsu,2.668934515,0.015341624,0.032089718,0.001313939,0.085645356,0.00082163,1.058572063,1,1,2
Akame,Akame ga Kill!,Esdeath,Akame ga Kill!,15.25539615,0.015341624,0.011307277,0.002646384,0.172496984,0.002472912,1.194790478,1,1,2
Akame,Akame ga Kill!,Nezuko Kamado,Kimetsu no Yaiba,2.429380485,0.015341624,0.03227478,0.001202902,0.07840772,0.000707754,1.050057863,1,1,2
Akame,Akame ga Kill!,Itachi Uchiha,Naruto,2.243362618,0.015341624,0.038714931,0.001332445,0.086851628,0.000738495,1.052715089,1,1,2
Akame,Akame ga Kill!,Violet Evergarden,Violet Evergarden,2.132808939,0.015341624,0.04128729,0.001350951,0.088057901,0.000717537,1.051286821,1,1,2
Akame,Akame ga Kill!,Kakashi Hatake,Naruto,2.047606717,0.015341624,0.035346806,0.001110371,0.072376357,0.000568093,1.039918723,1,1,2
Akame,Akame ga Kill!,Levi,Shingeki no Kyojin,1.887543782,0.015341624,0.077966541,0.002257754,0.147165259,0.001061621,1.081139657,1,1,2
Akame,Akame ga Kill!,Shouto Todoroki,Boku no Hero Academia,1.667773488,0.015341624,0.043396995,0.001110371,0.072376357,0.00044459,1.031240431,1,1,2
Akame,Akame ga Kill!,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,1.537630138,0.015341624,0.072174106,0.001702569,0.110977081,0.000595301,1.043646765,1,1,2
Akane Tsunemori,PSYCHO-PASS,Kurisu Makise,Steins;Gate,2.210755974,0.011992005,0.074690947,0.001980161,0.165123457,0.001084467,1.108318422,1,1,2
Akane Tsunemori,PSYCHO-PASS,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,1.603632479,0.011992005,0.072174106,0.001387964,0.115740741,0.000522451,1.049269074,1,1,2
Akane Tsunemori,PSYCHO-PASS,Shogo Makishima,PSYCHO-PASS,9.974747475,0.011992005,0.011603376,0.001387964,0.115740741,0.001248816,1.11776791,1,1,2
Akari Mizunashi,ARIA The ANIMATION,Alpha Hatsuseno,Yokohama Kaidashi Kikou,28.41436298,0.007106374,0.005773928,0.001165889,0.1640625,0.001124858,1.189354553,1,1,2
Akeno Himejima,High School DxD,Rias Gremory,High School DxD,29.14187535,0.010326449,0.013898142,0.004182397,0.405017921,0.004038878,1.657363966,1,1,2
Akeno Himejima,High School DxD,Kurumi Tokisaki,Date A Live,6.598743934,0.010326449,0.020911985,0.001424976,0.137992832,0.001209029,1.135823519,1,1,2
Akeno Himejima,High School DxD,Zero Two,Darling in the Franxx,4.027585882,0.010326449,0.050725442,0.002109705,0.204301075,0.001585891,1.193007214,1,1,2
Akeno Himejima,High School DxD,Mai Sakurajima,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,3.126021505,0.010326449,0.052742616,0.001702569,0.164874552,0.001157925,1.134269571,1,1,2
Akeno Himejima,High School DxD,Mikasa Ackerman,Shingeki no Kyojin,2.534402702,0.010326449,0.043841143,0.001147383,0.111111111,0.00069466,1.075678714,1,1,2
Akeno Himejima,High School DxD,Rin Tohsaka,Fate/Zero,2.41567022,0.010326449,0.042286624,0.001054852,0.102150538,0.000618182,1.066674778,1,1,2
Akeno Himejima,High School DxD,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,2.204942928,0.010326449,0.060145088,0.001369457,0.132616487,0.000748372,1.083551737,1,1,2
Akeno Himejima,High School DxD,Lelouch Lamperouge,Code Geass: Hangyaku no Lelouch,1.464995864,0.010326449,0.072174106,0.001091865,0.105734767,0.000346562,1.037528755,1,1,2
Akeno Himejima,High School DxD,Levi,Shingeki no Kyojin,1.402127057,0.010326449,0.077966541,0.001128877,0.109318996,0.00032376,1.035200544,1,1,2
Aki Hayakawa,Chainsaw-man,Denji,Chainsaw-man,46.12548015,0.004274928,0.007883633,0.001554519,0.363636364,0.001520817,1.559040005,1,1,2
